result_key,surface_power [wh],runtime [sec]
rectangle_40_c1c,2586.0,66.05
rectangle_40_c1m,12272.308000000003,66.05
rectangle_40_c2s,2587.0,1.17
rectangle_40_c2c,2586.0,1.17
rectangle_40_c2m,12272.308000000003,1.17
rectangle_40_c2s,2587.0,65.04
rectangle_40_c2c,2586.0,65.04
rectangle_40_c2m,12272.308000000003,65.04
rectangle_45_a1,5053.87,0.02
rectangle_45_a2,8598.59,0.17
rectangle_45_a3,14411.95,1.34
rectangle_45_a4,20154.4,1.33
rectangle_45_b1,16194.44,1.11
rectangle_45_b2,16869.62,99.58
rectangle_45_c1s,2587.0,1.43
rectangle_45_c1c,2586.0,1.43
rectangle_45_c1m,12119.307999999997,1.43
rectangle_45_c1s,2587.0,66.13
rectangle_45_c1c,2586.0,66.13
rectangle_45_c1m,12119.307999999997,66.13
rectangle_45_c2s,2587.0,1.15
rectangle_45_c2c,2586.0,1.15
rectangle_45_c2m,12119.307999999997,1.15
rectangle_45_c2s,2587.0,65.38
rectangle_45_c2c,2586.0,65.38
