result_key,surface_power [wh],runtime [sec]
rectangle_75_b2,1411.38,82.16
rectangle_75_c1s,759.0,1.33
rectangle_75_c1c,559.0,1.33
rectangle_75_c1m,1346.3159999999996,1.33
rectangle_75_c2s,618.0,64.71
rectangle_75_c2c,377.0,64.71
rectangle_75_c2m,824.0009999999997,64.71
rectangle_80_a1,53.91,0.02
rectangle_80_a2,53.91,0.16
rectangle_80_a3,53.91,1.28
rectangle_80_a4,1721.28,1.28
rectangle_80_b1,922.33,1.08
rectangle_80_b2,1060.87,83.42
rectangle_80_c1s,282.0,1.3
rectangle_80_c1c,214.0,1.3
rectangle_80_c1m,875.4760000000001,1.3
rectangle_80_c2s,318.0,64.06
rectangle_80_c2c,251.0,64.06
rectangle_80_c2m,559.3599999999998,64.06
rectangle_85_a1,34.5,0.02
rectangle_85_a2,34.5,0.16
rectangle_85_a3,34.5,1.27
rectangle_85_a4,1028.19,1.28
rectangle_85_b1,34.5,1.06
rectangle_85_b2,812.77,78.5
rectangle_85_c1s,217.0,1.27
rectangle_85_c1c,164.0,1.27
rectangle_85_c1m,216.8879999999996,1.27
rectangle_85_c2s,158.0,64.18
rectangle_85_c2c,117.0,64.18
rectangle_85_c2m,293.6780000000001,64.18
rectangle_90_a1,19.41,0.02
rectangle_90_a2,19.41,0.16
rectangle_90_a3,19.41,1.27
rectangle_90_a4,386.56,1.26
rectangle_90_b1,19.41,1.07
rectangle_90_b2,518.93,75.83
rectangle_90_c1s,160.0,1.21
rectangle_90_c1c,121.0,1.21
rectangle_90_c1m,159.9359999999997,1.21
rectangle_90_c2s,146.0,64.28
rectangle_90_c2c,118.0,64.28
rectangle_90_c2m,159.0810000000001,64.28
triangle_10_a1,5264.45,0.02
triangle_10_a2,4872.47,0.16
triangle_10_a3,4841.11,1.29
triangle_10_a4,4229.62,1.29
triangle_10_b1,4816.47,1.08
triangle_10_b2,4786.6,78.32
triangle_10_c1s,3328.0,1.34
triangle_10_c1c,2705.0,1.34
triangle_10_c1m,3600.187999999997,1.34
triangle_10_c2s,3133.0,64.08
triangle_10_c2c,2637.0,64.08
triangle_10_c2m,3219.546999999995,64.08
triangle_15_a1,5264.45,0.02
triangle_15_a2,4868.65,0.16
triangle_15_a3,4599.51,1.29
triangle_15_a4,3934.58,1.27
triangle_15_b1,4529.4,1.07
triangle_15_b2,4543.54,77.0
triangle_15_c1s,2984.0,1.21
triangle_15_c1c,2438.0,1.21
triangle_15_c1m,3418.9999999999977,1.21
triangle_15_c2s,2937.0,64.13
triangle_15_c2c,2514.0,64.13
triangle_15_c2m,3068.5959999999964,64.13
triangle_20_a1,5264.45,0.02
triangle_20_a2,4066.12,0.16
triangle_20_a3,4305.78,1.27
triangle_20_a4,3586.78,1.28
triangle_20_b1,4351.43,1.06
triangle_20_b2,4287.71,78.55
triangle_20_c1s,2778.0,1.29
triangle_20_c1c,2168.0,1.29
triangle_20_c1m,3304.803999999997,1.29
triangle_20_c2s,2747.0,64.02
triangle_20_c2c,2316.0,64.02
triangle_20_c2m,2919.731999999997,64.02
triangle_25_a1,5264.45,0.02
triangle_25_a2,4055.65,0.16
triangle_25_a3,4055.65,1.27
triangle_25_a4,3282.02,1.28
triangle_25_b1,4055.65,1.06
triangle_25_b2,4033.59,78.12
triangle_25_c1s,2452.0,1.25
triangle_25_c1c,1892.0,1.25
triangle_25_c1m,3114.8249999999966,1.25
triangle_25_c2s,2561.0,64.34
triangle_25_c2c,2196.0,64.34
triangle_25_c2m,2784.487999999998,64.34
triangle_30_a1,5264.45,0.02
triangle_30_a2,4045.67,0.16
triangle_30_a3,3753.17,1.28
triangle_30_a4,2973.15,1.28
triangle_30_b1,3639.42,1.06
triangle_30_b2,3775.8,82.62
triangle_30_c1s,2037.0,1.22
triangle_30_c1c,1600.0,1.22
triangle_30_c1m,2846.1439999999984,1.22
triangle_30_c2s,2347.0,63.9
triangle_30_c2c,1925.0,63.9
triangle_30_c2m,2572.193999999997,63.9
triangle_35_a1,5264.45,0.02
triangle_35_a2,3626.76,0.16
triangle_35_a3,3495.75,1.27
triangle_35_a4,2513.14,1.27
triangle_35_b1,3509.79,1.06
triangle_35_b2,3519.53,75.83
triangle_35_c1s,1963.0,1.19
triangle_35_c1c,1583.0,1.19
triangle_35_c1m,2757.695999999997,1.19
triangle_35_c2s,2181.0,64.42
triangle_35_c2c,1762.0,64.42
triangle_35_c2m,2438.327999999997,64.42
triangle_40_a1,5264.45,0.02
triangle_40_a2,3202.34,0.16
triangle_40_a3,3185.84,1.27
triangle_40_a4,2245.52,1.27
triangle_40_b1,3261.25,1.06
triangle_40_b2,3256.34,79.64
triangle_40_c1s,1760.0,1.21
triangle_40_c1c,1379.0,1.21
triangle_40_c1m,2591.5480000000007,1.21
triangle_40_c2s,2017.9999999999998,63.89
triangle_40_c2c,1600.0,63.89
triangle_40_c2m,2281.6819999999975,63.89
triangle_45_a1,5264.45,0.02
triangle_45_a2,2772.88,0.16
triangle_45_a3,2922.37,1.27
triangle_45_a4,1975.58,1.29
triangle_45_b1,3010.17,1.06
triangle_45_b2,2988.42,82.28
triangle_45_c1s,1605.0,1.29
triangle_45_c1c,1355.0,1.29
triangle_45_c1m,2421.588000000002,1.29
triangle_45_c2s,1877.0,63.84
triangle_45_c2c,1329.0,63.84
triangle_45_c2m,2127.0109999999986,63.84
triangle_50_a1,249.19,0.02
triangle_50_a2,2756.82,0.16
triangle_50_a3,2506.05,1.27
triangle_50_a4,1703.61,1.26
triangle_50_b1,2756.82,1.06
triangle_50_b2,2721.99,78.72
triangle_50_c1s,1503.0,1.2
triangle_50_c1c,1252.0,1.2
triangle_50_c1m,2247.7979999999993,1.2
triangle_50_c2s,1691.0,63.79
triangle_50_c2c,1154.0,63.79
triangle_50_c2m,1889.0910000000003,63.79
triangle_55_a1,219.01,0.02
triangle_55_a2,2321.28,0.16
triangle_55_a3,2338.1,1.27
triangle_55_a4,1631.73,1.27
triangle_55_b1,2381.34,1.07
triangle_55_b2,2460.43,75.88
triangle_55_c1s,1391.0,1.18
